
date,series_id,value,city
2010-07-01,NEWY636UR,8.9,New York
2010-08-01,NEWY636UR,8.9,New York
2010-09-01,NEWY636UR,8.9,New York
2010-10-01,NEWY636UR,8.9,New York
2010-11-01,NEWY636UR,8.9,New York
2010-12-01,NEWY636UR,8.8,New York
2011-01-01,NEWY636UR,8.7,New York
2011-02-01,NEWY636UR,8.7,New York
2011-03-01,NEWY636UR,8.6,New York
2011-04-01,NEWY636UR,8.6,New York
2011-05-01,NEWY636UR,8.6,New York
2011-06-01,NEWY636UR,8.6,New York
2011-07-01,NEWY636UR,8.6,New York
2011-08-01,NEWY636UR,8.7,New York
2011-09-01,NEWY636UR,8.7,New York
2011-10-01,NEWY636UR,8.8,New York
2011-11-01,NEWY636UR,8.8,New York
2011-12-01,NEWY636UR,8.9,New York
2012-01-01,NEWY636UR,8.9,New York
2012-02-01,NEWY636UR,8.9,New York
2012-03-01,NEWY636UR,9.0,New York
2012-04-01,NEWY636UR,9.0,New York
2012-05-01,NEWY636UR,9.0,New York
2012-06-01,NEWY636UR,9.0,New York
2012-07-01,NEWY636UR,9.0,New York
2012-08-01,NEWY636UR,8.9,New York
2012-09-01,NEWY636UR,8.8,New York
2012-10-01,NEWY636UR,8.8,New York
2012-11-01,NEWY636UR,8.7,New York
2012-12-01,NEWY636UR,8.7,New York
2013-01-01,NEWY636UR,8.6,New York
2013-02-01,NEWY636UR,8.5,New York
2013-03-01,NEWY636UR,8.4,New York
2013-04-01,NEWY636UR,8.3,New York
2013-05-01,NEWY636UR,8.2,New York
2013-06-01,NEWY636UR,8.1,New York
2013-07-01,NEWY636UR,8.1,New York
2013-08-01,NEWY636UR,8.0,New York
2013-09-01,NEWY636UR,7.9,New York
2013-10-01,NEWY636UR,7.7,New York
2013-11-01,NEWY636UR,7.5,New York
2013-12-01,NEWY636UR,7.3,New York
2014-01-01,NEWY636UR,7.1,New York
2014-02-01,NEWY636UR,6.9,New York
2014-03-01,NEWY636UR,6.8,New York
2014-04-01,NEWY636UR,6.6,New York
2014-05-01,NEWY636UR,6.5,New York
2014-06-01,NEWY636UR,6.4,New York
2014-07-01,NEWY636UR,6.3,New York
2014-08-01,NEWY636UR,6.2,New York
2014-09-01,NEWY636UR,6.1,New York
2014-10-01,NEWY636UR,6.1,New York
2014-11-01,NEWY636UR,6.0,New York
2014-12-01,NEWY636UR,5.9,New York
2015-01-01,NEWY636UR,5.8,New York
2015-02-01,NEWY636UR,5.7,New York
2015-03-01,NEWY636UR,5.7,New York
2015-04-01,NEWY636UR,5.6,New York
2015-05-01,NEWY636UR,5.5,New York
2015-06-01,NEWY636UR,5.3,New York
2015-07-01,NEWY636UR,5.2,New York
2015-08-01,NEWY636UR,5.1,New York
2015-09-01,NEWY636UR,5.0,New York
2015-10-01,NEWY636UR,4.9,New York
2015-11-01,NEWY636UR,4.8,New York
2015-12-01,NEWY636UR,4.8,New York
2016-01-01,NEWY636UR,4.8,New York
2016-02-01,NEWY636UR,4.8,New York
2016-03-01,NEWY636UR,4.8,New York
2016-04-01,NEWY636UR,4.8,New York
2016-05-01,NEWY636UR,4.8,New York
2016-06-01,NEWY636UR,4.9,New York
2016-07-01,NEWY636UR,4.9,New York
2016-08-01,NEWY636UR,4.9,New York
2016-09-01,NEWY636UR,4.9,New York
2016-10-01,NEWY636UR,4.9,New York
2016-11-01,NEWY636UR,4.8,New York
2016-12-01,NEWY636UR,4.6,New York
2017-01-01,NEWY636UR,4.5,New York
2017-02-01,NEWY636UR,4.4,New York
2017-03-01,NEWY636UR,4.4,New York
2017-04-01,NEWY636UR,4.4,New York
2017-05-01,NEWY636UR,4.4,New York
2017-06-01,NEWY636UR,4.4,New York
